,Salgadinho,Surubim,Casinhas,Santa Maria do Cambuca,Vertentes,Vertente do Lerio,Frei Miguelinho,Toritama,Cumaru,Passira,Bezerros,Gravata,Riacho das Almas,Santa Cruz do Capibaribe,Caruaru,Agrestina,Altinho,Cachoeirinha,Ibirajuba
Jucazinho (R1),0.24,0.41,0.41,1.07,1.07,1.07,1.07,1.07,0.73,0.73,1.63,1.63,1.26,1.88,1.44,0,0,0,0
Machado (R2),0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0
Eng Gercino Pontes (R3),0,0,0,0,0,0,0,0.65,0,0,0,0,0,0.65,0,0,0,0,0
Poco Fundo (R4),0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
Prata (R5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.77,0.77,1.83,2.17
IMP1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
IMP2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
IMP3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
IMP4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
IMP5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Pi,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20